iter	Passed	Remaining
0	1	271
1	2	201
2	2	155
3	2	132
4	3	122
5	3	111
6	3	103
7	4	97
8	4	92
9	4	88
10	4	85
11	5	85
12	5	83
13	6	80
14	6	77
15	6	75
16	6	74
17	7	72
18	7	71
19	7	69
20	8	68
21	8	68
22	8	67
23	9	66
24	9	64
25	9	63
26	9	61
27	9	60
28	10	59
29	10	58
30	10	57
31	10	56
32	11	55
33	11	55
34	11	54
35	11	53
36	11	52
37	12	51
38	12	50
39	12	50
40	12	49
41	12	48
42	13	47
43	13	46
44	13	46
45	13	45
46	13	44
47	13	44
48	14	44
49	14	43
50	14	43
51	14	42
52	15	42
53	15	41
54	15	41
55	15	40
56	16	40
57	16	39
58	16	39
59	16	38
60	16	38
61	17	38
62	18	39
63	18	38
64	18	38
65	18	37
66	18	37
67	18	36
68	19	36
69	19	35
70	19	35
71	19	34
72	19	34
73	19	33
74	19	33
75	20	32
76	20	32
77	20	31
78	20	31
79	20	31
80	20	30
81	20	30
82	21	29
83	21	29
84	21	28
85	21	28
86	21	28
87	21	27
88	22	27
89	22	27
90	22	26
91	22	26
92	22	26
93	22	25
94	23	25
95	23	25
96	23	24
97	23	24
98	23	24
99	23	23
100	23	23
101	24	23
102	24	22
103	24	22
104	24	22
105	24	21
106	24	21
107	24	21
108	25	20
109	25	20
110	25	20
111	25	20
112	25	19
113	25	19
114	25	19
115	26	18
116	26	18
117	26	18
118	26	18
119	26	17
120	26	17
121	26	17
122	27	16
123	27	16
124	27	16
125	27	16
126	27	15
127	27	15
128	27	15
129	27	15
130	28	14
131	28	14
132	28	14
133	28	14
134	28	13
135	28	13
136	28	13
137	29	13
138	29	12
139	29	12
140	29	12
141	29	12
142	29	11
143	29	11
144	30	11
145	30	11
146	30	10
147	30	10
148	30	10
149	30	10
150	30	10
151	31	9
152	31	9
153	31	9
154	31	9
155	31	8
156	31	8
157	31	8
158	31	8
159	32	8
160	32	7
161	32	7
162	32	7
163	32	7
164	32	6
165	32	6
166	33	6
167	33	6
168	33	6
169	33	5
170	33	5
171	33	5
172	33	5
173	34	5
174	34	4
175	34	4
176	34	4
177	34	4
178	34	4
179	34	3
180	34	3
181	35	3
182	35	3
183	35	3
184	35	2
185	36	2
186	36	2
187	36	2
188	36	2
189	36	1
190	36	1
191	37	1
192	37	1
193	37	1
194	38	0
195	38	0
196	38	0
197	38	0
198	38	0
199	38	0
